time,latitude,north\south,longtitude,east\west,quality,nos,hdop,altitude,hog,speed,date
142701.00,3144.80388,N,03458.74122,E,1,08,0.00,232.5,M,0.000,020416
142702.00,3144.80605,N,03458.73706,E,1,08,0.00,232.4,M,10.021,020416
142704.00,3144.80708,N,03458.73525,E,1,08,0.00,231.8,M,8.086,020416
142705.00,3144.80733,N,03458.73446,E,1,08,0.00,232.1,M,6.571,020416
142706.00,3144.80767,N,03458.73370,E,1,08,0.00,232.8,M,5.721,020416
142708.00,3144.80865,N,03458.73213,E,1,08,0.00,233.6,M,4.894,020416
142709.00,3144.80917,N,03458.73132,E,1,08,0.00,234.4,M,4.653,020416
142711.00,3144.80996,N,03458.72943,E,1,08,0.00,235.9,M,4.365,020416
142712.00,3144.81033,N,03458.72854,E,1,08,0.00,235.4,M,4.236,020416
142714.00,3144.81120,N,03458.72697,E,1,08,0.00,234.4,M,4.021,020416
142716.00,3144.81203,N,03458.72539,E,1,08,0.00,235.2,M,3.867,020416
142717.00,3144.81242,N,03458.72453,E,1,08,0.00,234.6,M,3.808,020416
142719.00,3144.81332,N,03458.72268,E,1,08,0.00,234.8,M,3.747,020416
142720.00,3144.81388,N,03458.72166,E,1,08,0.00,235.2,M,3.744,020416
142722.00,3144.81531,N,03458.71992,E,1,08,0.00,233.7,M,3.731,020416
142724.00,3144.81671,N,03458.71820,E,1,08,0.00,235.0,M,3.719,020416
142725.00,3144.81725,N,03458.71730,E,1,08,0.00,235.4,M,3.698,020416
142726.00,3144.81752,N,03458.71637,E,1,08,0.00,236.2,M,3.662,020416
142728.00,3144.81804,N,03458.71448,E,1,08,0.00,233.3,M,3.620,020416
142730.00,3144.81853,N,03458.71246,E,1,08,0.00,233.5,M,3.582,020416
142732.00,3144.81897,N,03458.71068,E,1,08,0.00,232.8,M,3.530,020416
142733.00,3144.81943,N,03458.71024,E,1,08,0.00,234.4,M,3.481,020416
142734.00,3144.81959,N,03458.70960,E,1,08,0.00,235.3,M,3.433,020416
142735.00,3144.81954,N,03458.70904,E,1,08,0.00,236.6,M,3.371,020416
142736.00,3144.81956,N,03458.70849,E,1,08,0.00,237.0,M,3.316,020416
142737.00,3144.81963,N,03458.70796,E,1,08,0.00,236.5,M,3.266,020416
142739.00,3144.82010,N,03458.70666,E,1,08,0.00,237.1,M,3.208,020416
142740.00,3144.82068,N,03458.70597,E,1,08,0.00,236.8,M,3.198,020416
142742.00,3144.82252,N,03458.70458,E,1,08,0.00,235.5,M,3.214,020416
142743.00,3144.82362,N,03458.70399,E,1,08,0.00,234.7,M,3.223,020416
142745.00,3144.82609,N,03458.70268,E,1,08,0.00,235.2,M,3.263,020416
142747.00,3144.82890,N,03458.70123,E,1,08,0.00,233.8,M,3.328,020416
142749.00,3144.83229,N,03458.69982,E,1,08,0.00,232.4,M,3.416,020416
142751.00,3144.83645,N,03458.69794,E,1,08,0.00,234.6,M,3.564,020416
142752.00,3144.83850,N,03458.69700,E,1,08,0.00,234.2,M,3.633,020416
142753.00,3144.84039,N,03458.69636,E,1,08,0.00,233.2,M,3.680,020416
142754.00,3144.84216,N,03458.69574,E,1,08,0.00,233.4,M,3.718,020416
142756.00,3144.84560,N,03458.69489,E,1,08,0.00,236.8,M,3.780,020416
142757.00,3144.84696,N,03458.69457,E,1,08,0.00,238.6,M,3.788,020416
142759.00,3144.84936,N,03458.69376,E,1,08,0.00,240.0,M,3.798,020416
142800.00,3144.85014,N,03458.69359,E,1,08,0.00,239.3,M,3.774,020416
142801.00,3144.85043,N,03458.69330,E,1,08,0.00,239.3,M,3.734,020416
142802.00,3144.85035,N,03458.69328,E,1,08,0.00,239.2,M,3.669,020416
142804.00,3144.85017,N,03458.69395,E,1,08,0.00,238.5,M,3.523,020416
142805.00,3144.85087,N,03458.69408,E,1,08,0.00,238.6,M,3.494,020416
142806.00,3144.85020,N,03458.69502,E,1,08,0.00,237.2,M,3.382,020416
142808.00,3144.85032,N,03458.69573,E,1,08,0.00,236.3,M,3.263,020416
142810.00,3144.85056,N,03458.69535,E,1,08,0.00,236.5,M,3.191,020416
142812.00,3144.85045,N,03458.69392,E,1,08,0.00,237.7,M,3.136,020416
142813.00,3144.85065,N,03458.69331,E,1,08,0.00,238.2,M,3.117,020416
142814.00,3144.85094,N,03458.69270,E,1,08,0.00,235.3,M,3.101,020416
142816.00,3144.85211,N,03458.69191,E,1,08,0.00,234.8,M,3.083,020416
142817.00,3144.85290,N,03458.69132,E,1,08,0.00,236.9,M,3.086,020416
142819.00,3144.85423,N,03458.69048,E,1,08,0.00,237.5,M,3.074,020416
142821.00,3144.85572,N,03458.69004,E,1,08,0.00,237.7,M,3.060,020416
142822.00,3144.85639,N,03458.68986,E,1,08,0.00,238.3,M,3.050,020416
142823.00,3144.85700,N,03458.68958,E,1,08,0.00,237.0,M,3.039,020416
142824.00,3144.85752,N,03458.68941,E,1,08,0.00,237.1,M,3.024,020416
142825.00,3144.85812,N,03458.68908,E,1,08,0.00,237.3,M,3.014,020416
142827.00,3144.85914,N,03458.68827,E,1,08,0.00,237.3,M,2.998,020416
142828.00,3144.86012,N,03458.68846,E,1,08,0.00,233.5,M,2.990,020416
142830.00,3144.86274,N,03458.68938,E,1,08,0.00,230.7,M,2.988,020416
142831.00,3144.86391,N,03458.68967,E,1,08,0.00,230.8,M,2.986,020416
142832.00,3144.86495,N,03458.68992,E,1,08,0.00,232.0,M,2.981,020416
142833.00,3144.86612,N,03458.69014,E,1,08,0.00,229.6,M,2.981,020416
142835.00,3144.86873,N,03458.69037,E,1,08,0.00,228.5,M,2.997,020416
142836.00,3144.87017,N,03458.69051,E,1,08,0.00,225.8,M,3.008,020416
142838.00,3144.87212,N,03458.69064,E,1,08,0.00,229.8,M,3.006,020416
142839.00,3144.87425,N,03458.69087,E,1,08,0.00,230.9,M,3.038,020416
142841.00,3144.87626,N,03458.69115,E,1,08,0.00,230.5,M,3.035,020416
142843.00,3144.87866,N,03458.69159,E,1,08,0.00,230.8,M,3.043,020416
142844.00,3144.88001,N,03458.69209,E,1,08,0.00,231.1,M,3.047,020416
142845.00,3144.88080,N,03458.69230,E,1,08,0.00,230.7,M,3.039,020416
142847.00,3144.88323,N,03458.69271,E,1,08,0.00,230.3,M,3.049,020416
142848.00,3144.88453,N,03458.69297,E,1,08,0.00,232.3,M,3.056,020416
142850.00,3144.88697,N,03458.69381,E,1,08,0.00,234.2,M,3.062,020416
142851.00,3144.88785,N,03458.69417,E,1,08,0.00,234.8,M,3.056,020416
142852.00,3144.88975,N,03458.69427,E,1,08,0.00,234.8,M,3.082,020416
142853.00,3144.89079,N,03458.69455,E,1,08,0.00,234.6,M,3.082,020416
142855.00,3144.89285,N,03458.69550,E,1,08,0.00,234.2,M,3.077,020416
142856.00,3144.89342,N,03458.69609,E,1,08,0.00,235.6,M,3.060,020416
142857.00,3144.89432,N,03458.69649,E,1,08,0.00,235.5,M,3.055,020416
142859.00,3144.89606,N,03458.69709,E,1,08,0.00,238.5,M,3.047,020416
142900.00,3144.89699,N,03458.69739,E,1,08,0.00,239.0,M,3.043,020416
142902.00,3144.89841,N,03458.69805,E,1,08,0.00,238.3,M,3.027,020416
142903.00,3144.89892,N,03458.69823,E,1,08,0.00,238.4,M,3.014,020416
142904.00,3144.89928,N,03458.69834,E,1,08,0.00,238.6,M,2.998,020416
142906.00,3144.89996,N,03458.69849,E,1,08,0.00,238.7,M,2.968,020416
142907.00,3144.90042,N,03458.69853,E,1,08,0.00,237.8,M,2.956,020416
142908.00,3144.90131,N,03458.69881,E,1,08,0.00,237.7,M,2.954,020416
142910.00,3144.90174,N,03458.69861,E,1,08,0.00,235.8,M,2.921,020416
142912.00,3144.90306,N,03458.69820,E,1,08,0.00,233.5,M,2.914,020416
142914.00,3144.90438,N,03458.69887,E,1,08,0.00,231.4,M,2.899,020416
142915.00,3144.90429,N,03458.69979,E,1,08,0.00,234.0,M,2.867,020416
142917.00,3144.90552,N,03458.70095,E,1,08,0.00,234.5,M,2.848,020416
142919.00,3144.90659,N,03458.70111,E,1,08,0.00,236.2,M,2.832,020416
142921.00,3144.90831,N,03458.70143,E,1,08,0.00,236.0,M,2.832,020416
142922.00,3144.90904,N,03458.70180,E,1,08,0.00,235.6,M,2.827,020416
142923.00,3144.91017,N,03458.70186,E,1,08,0.00,233.6,M,2.834,020416
142924.00,3144.91118,N,03458.70211,E,1,08,0.00,231.2,M,2.836,020416
142926.00,3144.91328,N,03458.70270,E,1,08,0.00,232.4,M,2.844,020416
142927.00,3144.91421,N,03458.70284,E,1,08,0.00,233.5,M,2.845,020416
142928.00,3144.91528,N,03458.70300,E,1,08,0.00,231.5,M,2.849,020416
142930.00,3144.91729,N,03458.70345,E,1,08,0.00,231.5,M,2.856,020416
142931.00,3144.91908,N,03458.70406,E,1,08,0.00,231.8,M,2.875,020416
142932.00,3144.92036,N,03458.70455,E,1,08,0.00,231.9,M,2.882,020416
142934.00,3144.92306,N,03458.70579,E,1,08,0.00,230.3,M,2.900,020416
142935.00,3144.92432,N,03458.70627,E,1,08,0.00,230.9,M,2.907,020416
142937.00,3144.92645,N,03458.70718,E,1,08,0.00,231.7,M,2.914,020416
142939.00,3144.92885,N,03458.70848,E,1,08,0.00,233.0,M,2.925,020416
142941.00,3144.93101,N,03458.70950,E,1,08,0.00,231.3,M,2.932,020416
142943.00,3144.93318,N,03458.71075,E,1,08,0.00,233.6,M,2.938,020416
142945.00,3144.93530,N,03458.71194,E,1,08,0.00,233.0,M,2.944,020416
142946.00,3144.93647,N,03458.71259,E,1,08,0.00,232.2,M,2.949,020416
142947.00,3144.93773,N,03458.71320,E,1,08,0.00,230.7,M,2.955,020416
142949.00,3144.93951,N,03458.71447,E,1,08,0.00,231.3,M,2.954,020416
142950.00,3144.94043,N,03458.71508,E,1,08,0.00,231.4,M,2.954,020416
142952.00,3144.94260,N,03458.71562,E,1,08,0.00,232.1,M,2.964,020416
142953.00,3144.94369,N,03458.71607,E,1,08,0.00,232.9,M,2.968,020416
142955.00,3144.94462,N,03458.71686,E,1,08,0.00,232.7,M,2.950,020416
142956.00,3144.94517,N,03458.71760,E,1,08,0.00,232.2,M,2.943,020416
142958.00,3144.94622,N,03458.71884,E,1,08,0.00,232.9,M,2.928,020416
142959.00,3144.94685,N,03458.71938,E,1,08,0.00,233.2,M,2.922,020416
143000.00,3144.94744,N,03458.71990,E,1,08,0.00,233.3,M,2.916,020416
143002.00,3144.94952,N,03458.72063,E,1,08,0.00,234.3,M,2.925,020416
143003.00,3144.95037,N,03458.71940,E,1,08,0.00,233.9,M,2.928,020416
143004.00,3144.95138,N,03458.71932,E,1,08,0.00,233.5,M,2.932,020416
143005.00,3144.95223,N,03458.71960,E,1,08,0.00,233.0,M,2.932,020416
143006.00,3144.95305,N,03458.72013,E,1,08,0.00,234.7,M,2.930,020416
143007.00,3144.95377,N,03458.72083,E,1,08,0.00,234.7,M,2.927,020416
143009.00,3144.95533,N,03458.72205,E,1,08,0.00,234.3,M,2.923,020416
143011.00,3144.95776,N,03458.72315,E,1,08,0.00,235.9,M,2.937,020416
143013.00,3144.96070,N,03458.72447,E,1,08,0.00,237.2,M,2.959,020416
143014.00,3144.96197,N,03458.72527,E,1,08,0.00,238.5,M,2.966,020416
143016.00,3144.96478,N,03458.72700,E,1,08,0.00,239.4,M,2.985,020416
143018.00,3144.96777,N,03458.72847,E,1,08,0.00,240.1,M,3.008,020416
143019.00,3144.96882,N,03458.72936,E,1,08,0.00,242.2,M,3.011,020416
143020.00,3144.96988,N,03458.73039,E,1,08,0.00,243.0,M,3.014,020416
143021.00,3144.97062,N,03458.73123,E,1,08,0.00,244.3,M,3.011,020416
143023.00,3144.97176,N,03458.73221,E,1,08,0.00,248.4,M,3.001,020416
143025.00,3144.97284,N,03458.73359,E,1,08,0.00,249.4,M,2.990,020416
143027.00,3144.97423,N,03458.73351,E,1,08,0.00,248.8,M,2.986,020416
143028.00,3144.97451,N,03458.73245,E,1,08,0.00,250.9,M,2.977,020416
143030.00,3144.97424,N,03458.73030,E,1,08,0.00,249.9,M,2.945,020416
143032.00,3144.97449,N,03458.72828,E,1,08,0.00,250.0,M,2.923,020416
143033.00,3144.97495,N,03458.72765,E,1,08,0.00,250.0,M,2.918,020416
143035.00,3144.97568,N,03458.72744,E,1,08,0.00,250.8,M,2.903,020416
143037.00,3144.97617,N,03458.72754,E,1,08,0.00,249.7,M,2.884,020416
143039.00,3144.97653,N,03458.72796,E,1,08,0.00,249.0,M,2.863,020416
143041.00,3144.97637,N,03458.72865,E,1,08,0.00,251.0,M,2.834,020416
143043.00,3144.97674,N,03458.72924,E,1,08,0.00,252.1,M,2.814,020416
143045.00,3144.97771,N,03458.72982,E,1,08,0.00,253.7,M,2.804,020416
143046.00,3144.97812,N,03458.73049,E,1,08,0.00,253.5,M,2.797,020416
143048.00,3144.97973,N,03458.73230,E,1,08,0.00,253.3,M,2.797,020416
143049.00,3144.98078,N,03458.73339,E,1,08,0.00,253.7,M,2.801,020416
143051.00,3144.98328,N,03458.73638,E,1,08,0.00,252.7,M,2.814,020416
143052.00,3144.98490,N,03458.73800,E,1,08,0.00,252.5,M,2.827,020416
143054.00,3144.98783,N,03458.74077,E,1,08,0.00,251.4,M,2.848,020416
143055.00,3144.98916,N,03458.74136,E,1,08,0.00,252.2,M,2.856,020416
143056.00,3144.99035,N,03458.74193,E,1,08,0.00,250.9,M,2.862,020416
143058.00,3144.99290,N,03458.74289,E,1,08,0.00,248.4,M,2.877,020416
143059.00,3144.99425,N,03458.74341,E,1,08,0.00,247.1,M,2.885,020416
143100.00,3144.99558,N,03458.74394,E,1,08,0.00,246.4,M,2.893,020416
143102.00,3144.99746,N,03458.74516,E,1,08,0.00,246.6,M,2.898,020416
143103.00,3144.99834,N,03458.74564,E,1,08,0.00,247.5,M,2.899,020416
143104.00,3144.99908,N,03458.74601,E,1,08,0.00,248.3,M,2.898,020416
143106.00,3145.00044,N,03458.74573,E,1,08,0.00,249.4,M,2.894,020416
143107.00,3145.00097,N,03458.74481,E,1,08,0.00,251.5,M,2.890,020416
143108.00,3145.00148,N,03458.74396,E,1,08,0.00,252.1,M,2.886,020416
143110.00,3145.00181,N,03458.74227,E,1,08,0.00,251.6,M,2.867,020416
143112.00,3145.00128,N,03458.74032,E,1,08,0.00,250.2,M,2.837,020416
143113.00,3145.00081,N,03458.73942,E,1,08,0.00,250.3,M,2.819,020416
143114.00,3145.00023,N,03458.73885,E,1,08,0.00,250.0,M,2.799,020416
143116.00,3144.99933,N,03458.73820,E,1,08,0.00,250.0,M,2.764,020416
143118.00,3144.99952,N,03458.73859,E,1,08,0.00,248.7,M,2.746,020416
143119.00,3145.00004,N,03458.73882,E,1,08,0.00,248.5,M,2.743,020416
143120.00,3145.00025,N,03458.73989,E,1,08,0.00,250.3,M,2.734,020416
143122.00,3145.00153,N,03458.74154,E,1,08,0.00,250.2,M,2.731,020416
143124.00,3145.00270,N,03458.74346,E,1,08,0.00,247.7,M,2.727,020416
143125.00,3145.00319,N,03458.74445,E,1,08,0.00,247.3,M,2.723,020416
143127.00,3145.00389,N,03458.74609,E,1,08,0.00,247.2,M,2.713,020416
143128.00,3145.00395,N,03458.74716,E,1,08,0.00,246.4,M,2.703,020416
143130.00,3145.00448,N,03458.74903,E,1,08,0.00,246.1,M,2.691,020416
143132.00,3145.00553,N,03458.75183,E,1,08,0.00,245.2,M,2.686,020416
143134.00,3145.00770,N,03458.75552,E,1,08,0.00,244.3,M,2.698,020416
143135.00,3145.00868,N,03458.75688,E,1,08,0.00,244.7,M,2.701,020416
143136.00,3145.01038,N,03458.75808,E,1,08,0.00,245.6,M,2.715,020416
143137.00,3145.01143,N,03458.75903,E,1,08,0.00,248.3,M,2.719,020416
143139.00,3145.01267,N,03458.76053,E,1,08,0.00,250.2,M,2.717,020416
143141.00,3145.01321,N,03458.76138,E,1,08,0.00,245.9,M,2.705,020416
143143.00,3145.01431,N,03458.76173,E,1,08,0.00,244.7,M,2.700,020416
143144.00,3145.01474,N,03458.76177,E,1,08,0.00,244.1,M,2.696,020416
143145.00,3145.01507,N,03458.76194,E,1,08,0.00,245.4,M,2.691,020416
143146.00,3145.01544,N,03458.76174,E,1,08,0.00,247.4,M,2.686,020416
143148.00,3145.01547,N,03458.76193,E,1,08,0.00,247.7,M,2.668,020416
143150.00,3145.01425,N,03458.76156,E,1,08,0.00,250.6,M,2.634,020416
143152.00,3145.01473,N,03458.76085,E,1,08,0.00,251.0,M,2.621,020416
143154.00,3145.01561,N,03458.76230,E,1,08,0.00,250.7,M,2.615,020416
143156.00,3145.01610,N,03458.76514,E,1,08,0.00,253.2,M,2.606,020416
143158.00,3145.01657,N,03458.76803,E,1,08,0.00,254.4,M,2.597,020416
143200.00,3145.01688,N,03458.77107,E,1,08,0.00,255.8,M,2.587,020416
143201.00,3145.01732,N,03458.77347,E,1,08,0.00,255.4,M,2.587,020416
143202.00,3145.01762,N,03458.77491,E,1,08,0.00,254.9,M,2.584,020416
143203.00,3145.01795,N,03458.77632,E,1,08,0.00,254.3,M,2.581,020416
143205.00,3145.01872,N,03458.77896,E,1,08,0.00,254.4,M,2.577,020416
143207.00,3145.01936,N,03458.78123,E,1,08,0.00,255.7,M,2.571,020416
143208.00,3145.01972,N,03458.78229,E,1,08,0.00,256.2,M,2.568,020416
143210.00,3145.02051,N,03458.78439,E,1,08,0.00,256.5,M,2.564,020416
143212.00,3145.02115,N,03458.78642,E,1,08,0.00,256.7,M,2.558,020416
143214.00,3145.02149,N,03458.78855,E,1,08,0.00,258.6,M,2.550,020416
143215.00,3145.02161,N,03458.78966,E,1,08,0.00,259.3,M,2.545,020416
143217.00,3145.02189,N,03458.79180,E,1,08,0.00,260.1,M,2.536,020416
143219.00,3145.02200,N,03458.79389,E,1,08,0.00,260.2,M,2.525,020416
143221.00,3145.02238,N,03458.79601,E,1,08,0.00,261.1,M,2.518,020416
143223.00,3145.02300,N,03458.79759,E,1,08,0.00,260.2,M,2.512,020416
143224.00,3145.02324,N,03458.79818,E,1,08,0.00,260.7,M,2.508,020416
143225.00,3145.02351,N,03458.79875,E,1,08,0.00,261.2,M,2.504,020416
143226.00,3145.02387,N,03458.79942,E,1,08,0.00,261.9,M,2.502,020416
143228.00,3145.02496,N,03458.80126,E,1,08,0.00,261.4,M,2.502,020416
143229.00,3145.02549,N,03458.80244,E,1,08,0.00,262.0,M,2.502,020416
143231.00,3145.02633,N,03458.80535,E,1,08,0.00,261.7,M,2.503,020416
143232.00,3145.02653,N,03458.80701,E,1,08,0.00,261.0,M,2.501,020416
143234.00,3145.02663,N,03458.81102,E,1,08,0.00,258.9,M,2.496,020416
143235.00,3145.02644,N,03458.81294,E,1,08,0.00,257.9,M,2.491,020416
143237.00,3145.02594,N,03458.81667,E,1,08,0.00,256.3,M,2.481,020416
143239.00,3145.02490,N,03458.81883,E,1,08,0.00,257.1,M,2.460,020416
143240.00,3145.02464,N,03458.81946,E,1,08,0.00,257.7,M,2.452,020416
143241.00,3145.02444,N,03458.81976,E,1,08,0.00,259.1,M,2.444,020416
143243.00,3145.02390,N,03458.81953,E,1,08,0.00,262.4,M,2.423,020416
143245.00,3145.02364,N,03458.81848,E,1,08,0.00,263.3,M,2.404,020416
143246.00,3145.02364,N,03458.81722,E,1,08,0.00,264.3,M,2.394,020416
143247.00,3145.02397,N,03458.81588,E,1,08,0.00,262.7,M,2.387,020416
143248.00,3145.02421,N,03458.81481,E,1,08,0.00,264.0,M,2.380,020416
143250.00,3145.02480,N,03458.81362,E,1,08,0.00,264.1,M,2.369,020416
143251.00,3145.02537,N,03458.81372,E,1,08,0.00,264.5,M,2.368,020416
143252.00,3145.02592,N,03458.81454,E,1,08,0.00,264.3,M,2.369,020416
143254.00,3145.02677,N,03458.81489,E,1,08,0.00,262.5,M,2.365,020416
143255.00,3145.02723,N,03458.81475,E,1,08,0.00,262.4,M,2.362,020416
143257.00,3145.02745,N,03458.81443,E,1,08,0.00,262.4,M,2.350,020416
143258.00,3145.02714,N,03458.81461,E,1,08,0.00,262.5,M,2.341,020416
143300.00,3145.02705,N,03458.81782,E,1,08,0.00,258.3,M,2.335,020416
143302.00,3145.02722,N,03458.82222,E,1,08,0.00,262.0,M,2.334,020416
143304.00,3145.02752,N,03458.82713,E,1,08,0.00,263.7,M,2.337,020416
143305.00,3145.02762,N,03458.82984,E,1,08,0.00,263.3,M,2.338,020416
143307.00,3145.02756,N,03458.83600,E,1,08,0.00,262.9,M,2.342,020416
143309.00,3145.02784,N,03458.84173,E,1,08,0.00,264.7,M,2.348,020416
143311.00,3145.02788,N,03458.84710,E,1,08,0.00,262.5,M,2.352,020416
143313.00,3145.02760,N,03458.85159,E,1,08,0.00,262.6,M,2.351,020416
